pinyin	phoneme	syll	syll_n	letter_n	sound_n	
yun2wu4	yun2wu4	['yun', 'wu']	2	5	5	
shao3shi2	$#3$i2	['shao', 'shi']	2	7	4	
kua4	kua4	['kua']	1	3	3	
hao2tao2	h#2t#2	['hao', 'tao']	2	6	4	
qiu1	qiu1	['qiu']	1	3	3	
chun1	$wən1	['chun']	1	4	4	
yue1bo2	ɥe1bo2	['yue', 'bo']	2	5	4	
tu3chan3	tu3$an3	['tu', 'chan']	2	6	5	
xin1ni3men	xin1ni3men	['xin', 'ni', 'men']	3	8	8	
ru2ci3zhu3	ru2ci3$u3	['ru', 'ci', 'zhu']	3	7	6	
qi2miao4	qi2mi#4	['qi', 'miao']	2	6	5	
mei3de2	m#3de2	['mei', 'de']	2	5	4	
guai1	gu#1	['guai']	1	4	3	
huan2kou3	huan2k#3	['huan', 'kou']	2	7	6	
zhui1gan3	$ui1gan3	['zhui', 'gan']	2	7	6	
yuan2you2	ɥæn2y#2	['yuan', 'you']	2	7	5	
zhun2bei4	$wən2b#4	['zhun', 'bei']	2	7	6	
zhe1yan3	$e1yan3	['zhe', 'yan']	2	6	5	
hou3	h#3	['hou']	1	3	2	
heng1	heŋ1	['heng']	1	4	3	
guai1qiao3	gu#1qi#3	['guai', 'qiao']	2	8	6	
chen2xing1	$en2xjəŋ1	['chen', 'xing']	2	8	7	
shang4gu3	$aŋ4gu3	['shang', 'gu']	2	7	5	
qing1fu4	qjəŋ1fu4	['qing', 'fu']	2	6	6	
zong4	zoŋ4	['zong']	1	4	3	
chu4lei4	$u4l#4	['chu', 'lei']	2	6	4	
zhong	$oŋ	['zhong']	1	5	3	
bi3er3	bi3er3	['bi', 'er']	2	4	4	
ba1lan2	ba1lan2	['ba', 'lan']	2	5	5	
wu4qi4	wu4qi4	['wu', 'qi']	2	4	4	
jin1kua1	jin1kua1	['jin', 'kua']	2	6	6	
bei4qi4	b#4qi4	['bei', 'qi']	2	5	4	
tai4gu3	t#4gu3	['tai', 'gu']	2	5	4	
yan1mo4	yan1mo4	['yan', 'mo']	2	5	5	
rong2hua4	roŋ2hua4	['rong', 'hua']	2	7	6	
yin1you2	yin1y#2	['yin', 'you']	2	6	5	
pian2	pian2	['pian']	1	4	4	
yan3mu4	yan3mu4	['yan', 'mu']	2	5	5	
en1gao1	en1g#1	['en', 'gao']	2	5	4	
er2nu3	er2nu3	['er', 'nu']	2	4	4	
an1wen3	an1wen3	['an', 'wen']	2	5	5	
miu4wang4	miu4waŋ4	['miu', 'wang']	2	7	6	
